date,symbol,open,high,low,close,volume,amount,turnover_rate
2012-01-13,300285.SZSE,2.09,2.26,2.07,2.08,9494606.0,258910112.0,0.7607857371794872
2012-01-16,300285.SZSE,1.92,1.92,1.88,1.88,788800.0,18887652.0,0.0632051282051282
2012-01-17,300285.SZSE,1.71,1.88,1.69,1.83,5736628.0,128730728.0,0.45966570512820515
2012-01-18,300285.SZSE,1.87,1.93,1.72,1.78,4442086.0,103640832.0,0.3559363782051282
2012-01-19,300285.SZSE,1.73,1.85,1.69,1.78,2919193.0,65635812.0,0.2339096955128205
2012-01-20,300285.SZSE,1.79,1.86,1.78,1.85,2469602.0,57597820.0,0.19788477564102563
2012-01-30,300285.SZSE,1.83,1.96,1.78,1.88,2555856.0,60808620.0,0.20479615384615385
2012-01-31,300285.SZSE,1.95,2.06,1.94,2.0,3194803.0,81013544.0,0.25599383012820515
2012-02-01,300285.SZSE,1.95,2.07,1.95,2.06,3122366.0,79779680.0,0.25018958333333335
2012-02-02,300285.SZSE,2.03,2.07,2.0,2.06,2257911.0,58611296.0,0.18092235576923077
2012-02-03,300285.SZSE,2.05,2.18,2.04,2.04,2639744.0,70360704.0,0.2115179487179487
2012-02-06,300285.SZSE,2.04,2.15,2.0,2.1,2495236.0,65982792.0,0.19993878205128204
2012-02-07,300285.SZSE,2.06,2.1,1.99,2.02,1608576.0,41661844.0,0.1288923076923077
2012-02-08,300285.SZSE,2.01,2.1,1.99,2.08,1697839.0,44150932.0,0.13604479166666666
2012-02-09,300285.SZSE,2.07,2.12,2.02,2.05,3476461.0,90889848.0,0.2785625801282051
2012-02-10,300285.SZSE,2.02,2.07,1.99,2.06,2678154.0,69030840.0,0.21459567307692307
2012-02-13,300285.SZSE,2.03,2.18,2.03,2.14,3222358.0,86647280.0,0.2582017628205128
2012-02-14,300285.SZSE,2.13,2.2,2.11,2.15,2692653.0,73515320.0,0.2157574519230769
2012-02-15,300285.SZSE,2.15,2.17,2.09,2.17,2143031.0,58075392.0,0.17171722756410257
2012-02-16,300285.SZSE,2.15,2.17,2.05,2.08,2230391.0,59708916.0,0.17871722756410258
2012-02-17,300285.SZSE,2.07,2.12,2.07,2.1,1470011.0,39162640.0,0.11778934294871794
2012-02-20,300285.SZSE,2.12,2.14,2.05,2.08,1472192.0,39212484.0,0.11796410256410256
2012-02-21,300285.SZSE,2.08,2.1,2.03,2.1,1263785.0,33202460.0,0.10126482371794872
2012-02-22,300285.SZSE,2.09,2.16,2.07,2.16,2562804.0,68962504.0,0.20535288461538462
2012-02-23,300285.SZSE,2.18,2.37,2.17,2.31,5984732.0,176578608.0,0.47954583333333334
2012-02-24,300285.SZSE,2.27,2.3,2.24,2.29,2543991.0,73342200.0,0.2038454326923077
