symbol,code,name,industry,listing_time
920126.BSE,920126,永大股份,专用设备制造业,2026-06-15
920083.BSE,920083,金戈新材,非金属矿物制品业,2026-06-11
301669.SZSE,301669,高特电子,电气机械和器材制造业,2026-06-09
920206.BSE,920206,彩客科技,化学原料和化学制品制造业,2026-06-08
920211.BSE,920211,新睿电子,仪器仪表制造业,2026-06-05
920218.BSE,920218,新天力,橡胶和塑料制品业,2026-05-29
920161.BSE,920161,龙辰科技,计算机、通信和其他电子设备制造业,2026-05-27
688635.SSE,688635,长进光子,计算机、通信和其他电子设备制造业,2026-05-27
920220.BSE,920220,朗信电气,汽车制造业,2026-05-22
001237.SZSE,001237,惠康科技,电气机械和器材制造业,2026-05-22
603435.SSE,603435,嘉德利,计算机、通信和其他电子设备制造业,2026-05-22
920096.BSE,920096,嘉晨智能,仪器仪表制造业,2026-05-18
001365.SZSE,001365,天海电子,汽车制造业,2026-05-18
001393.SZSE,001393,维通利,电气机械和器材制造业,2026-05-15
920178.BSE,920178,锐翔智能,专用设备制造业,2026-05-15
301531.SZSE,301531,春光集团,计算机、通信和其他电子设备制造业,2026-05-11
603407.SSE,603407,长裕集团,商务服务业,2026-05-11
920200.BSE,920200,振宏股份,专用设备制造业,2026-05-07
301599.SZSE,301599,理奇智能,C 制造业,2026-04-30
920186.BSE,920186,中科仪,通用设备制造业,2026-04-29
920156.BSE,920156,海昌智能,专用设备制造业,2026-04-27
920125.BSE,920125,鸿仕达,专用设备制造业,2026-04-24
688808.SSE,688808,联讯仪器,仪器仪表制造业,2026-04-24
001312.SZSE,001312,福恩股份,纺织业,2026-04-21
688820.SSE,688820,盛合晶微,计算机、通信和其他电子设备制造业,2026-04-21
920191.BSE,920191,瑞尔竞达,非金属矿物制品业,2026-04-20
301513.SZSE,301513,尚水智能,专用设备制造业,2026-04-17
301666.SZSE,301666,大普微-UW,计算机、通信和其他电子设备制造业,2026-04-16
603293.SSE,603293,埃泰克,计算机、通信和其他电子设备制造业,2026-04-16
920177.BSE,920177,恒道科技,专用设备制造业,2026-04-16
920012.BSE,920012,创达新材,计算机、通信和其他电子设备制造业,2026-04-13
920181.BSE,920181,赛英电子,电气机械和器材制造业,2026-04-10
688811.SSE,688811,有研复材,有色金属冶炼和压延加工业,2026-04-10
301696.SZSE,301696,三瑞智能,电气机械和器材制造业,2026-04-10
920011.BSE,920011,晨光电机,电气机械和器材制造业,2026-04-08
603459.SSE,603459,红板科技,电气机械和器材制造业,2026-04-08
301683.SZSE,301683,慧谷新材,化学原料和化学制品制造业,2026-04-01
001257.SZSE,001257,盛龙股份,有色金属矿采选业,2026-03-31
688813.SSE,688813,泰金新能,专用设备制造业,2026-03-31
920055.BSE,920055,隆源股份,汽车制造业,2026-03-31
920188.BSE,920188,悦龙科技,橡胶和塑料制品业,2026-03-30
920069.BSE,920069,普昂医疗,专用设备制造业,2026-03-27
688781.SSE,688781,视涯科技,计算机、通信和其他电子设备制造业,2026-03-25
301682.SZSE,301682,宏明电子,仪器仪表制造业,2026-03-25
920028.BSE,920028,新恒泰,橡胶和塑料制品业,2026-03-20
920078.BSE,920078,族兴新材,化学原料和化学制品制造业,2026-03-18
920036.BSE,920036,觅睿科技,计算机、通信和其他电子设备制造业,2026-03-09
301680.SZSE,301680,固德电材,化学原料和化学制品制造业,2026-03-06
920187.BSE,920187,通领科技,汽车制造业,2026-03-05
920183.BSE,920183,海菲曼,计算机、通信和其他电子设备制造业,2026-03-04
920168.BSE,920168,通宝光电,汽车制造业,2026-02-26
920166.BSE,920166,海圣医疗,专用设备制造业,2026-02-12
688816.SSE,688816,易思维,专用设备制造业,2026-02-11
603284.SSE,603284,林平发展,造纸和纸制品业,2026-02-10
688818.SSE,688818,电科蓝天,电气机械和器材制造业,2026-02-10
920180.BSE,920180,爱得科技,专用设备制造业,2026-02-10
688712.SSE,688712,北芯生命,专用设备制造业,2026-02-05
001220.SZSE,001220,世盟股份,道路运输业,2026-02-03
920119.BSE,920119,美德乐,通用设备制造业,2026-01-30
601112.SSE,601112,振石股份,非金属矿物制品业,2026-01-29
